19000,0.028,0.059,0.030,0.095,3
19000,0.049,0.098,0.041,0.116,4
20000,0.000,0.000,0.000,0.000,0
20000,0.005,0.008,0.006,0.031,1
20000,0.017,0.030,0.025,0.093,2
20000,0.034,0.067,0.035,0.106,3
20000,0.052,0.100,0.045,0.124,4
21000,0.000,0.000,0.000,0.000,0
21000,0.005,0.008,0.006,0.034,1
21000,0.019,0.032,0.026,0.089,2
21000,0.032,0.063,0.034,0.107,3
21000,0.048,0.095,0.042,0.123,4
22000,0.000,0.000,0.000,0.000,0
22000,0.004,0.008,0.006,0.026,1
22000,0.017,0.036,0.026,0.092,2
22000,0.033,0.066,0.034,0.107,3
22000,0.054,0.109,0.046,0.126,4
23000,0.000,0.000,0.000,0.000,0
23000,0.005,0.011,0.008,0.032,1
23000,0.021,0.040,0.029,0.101,2
23000,0.034,0.066,0.037,0.116,3
23000,0.054,0.111,0.047,0.133,4
24000,0.000,0.000,0.000,0.000,0
24000,0.006,0.010,0.008,0.033,1
24000,0.018,0.034,0.024,0.083,2
24000,0.034,0.063,0.034,0.105,3
24000,0.051,0.102,0.045,0.127,4
25000,0.000,0.000,0.000,0.000,0
25000,0.006,0.009,0.009,0.043,1
25000,0.023,0.041,0.032,0.109,2
25000,0.042,0.073,0.043,0.136,3
25000,0.063,0.121,0.055,0.156,4
26000,0.000,0.000,0.000,0.000,0
26000,0.005,0.006,0.005,0.024,1
26000,0.015,0.027,0.022,0.090,2
26000,0.039,0.071,0.039,0.119,3
26000,0.060,0.118,0.051,0.138,4
27000,0.000,0.000,0.000,0.000,0
27000,0.005,0.007,0.005,0.025,1
27000,0.016,0.029,0.021,0.095,2
27000,0.038,0.068,0.038,0.117,3
27000,0.063,0.122,0.051,0.140,4
28000,0.000,0.000,0.000,0.000,0
28000,0.004,0.007,0.007,0.029,1
28000,0.018,0.033,0.025,0.106,2
28000,0.041,0.073,0.042,0.129,3
28000,0.064,0.128,0.058,0.155,4
29000,0.000,0.000,0.000,0.000,0
29000,0.007,0.012,0.010,0.042,1
29000,0.020,0.041,0.032,0.120,2
29000,0.044,0.080,0.047,0.142,3
29000,0.073,0.144,0.063,0.167,4
30000,0.000,0.000,0.000,0.000,0
30000,0.008,0.012,0.009,0.043,1
30000,0.019,0.036,0.033,0.124,2
30000,0.047,0.086,0.050,0.151,3
30000,0.072,0.142,0.065,0.175,4
31000,0.000,0.000,0.000,0.000,0
31000,0.005,0.010,0.007,0.037,1
31000,0.020,0.045,0.033,0.114,2
31000,0.044,0.082,0.045,0.139,3
31000,0.065,0.130,0.059,0.165,4
32000,0.000,0.000,0.000,0.000,0
32000,0.007,0.012,0.009,0.042,1
32000,0.027,0.054,0.038,0.134,2
32000,0.047,0.097,0.049,0.149,3
32000,0.074,0.146,0.063,0.169,4
33000,0.000,0.000,0.000,0.000,0
33000,0.007,0.013,0.009,0.037,1
33000,0.022,0.041,0.029,0.110,2
33000,0.042,0.081,0.045,0.132,3
33000,0.072,0.139,0.059,0.156,4
34000,0.000,0.000,0.000,0.000,0
34000,0.008,0.019,0.014,0.066,1
34000,0.030,0.057,0.042,0.144,2
34000,0.050,0.090,0.052,0.157,3
